x,y,potential
-1.98997,0.35589,-2.53808
-1.98997,0.365915,-2.54126
-1.98997,0.37594,-2.54453
-1.98997,0.385965,-2.54789
-1.98997,0.39599,-2.55134
-1.98997,0.406015,-2.55488
-1.98997,0.41604,-2.5585
-1.98997,0.426065,-2.56222
-1.98997,0.43609,-2.56603
-1.98997,0.446115,-2.56993
-1.98997,0.45614,-2.57392
-1.98997,0.466165,-2.578
-1.98997,0.47619,-2.58217
-1.98997,0.486216,-2.58644
-1.98997,0.496241,-2.59079
-1.98997,0.506266,-2.59523
-1.98997,0.516291,-2.59976
-1.98997,0.526316,-2.60439
-1.98997,0.536341,-2.60911
-1.98997,0.546366,-2.61391
-1.98997,0.556391,-2.61881
-1.98997,0.566416,-2.62381
-1.98997,0.576441,-2.62889
-1.98997,0.586466,-2.63406
-1.98997,0.596491,-2.63933
-1.98997,0.606516,-2.64469
-1.98997,0.616541,-2.65014
-1.98997,0.626566,-2.65568
-1.98997,0.636591,-2.66132
-1.98997,0.646617,-2.66704
-1.98997,0.656642,-2.67286
-1.98997,0.666667,-2.67878
-1.98997,0.676692,-2.68478
-1.98997,0.686717,-2.69088
-1.98997,0.696742,-2.69708
-1.98997,0.706767,-2.70336
-1.98997,0.716792,-2.70974
-1.98997,0.726817,-2.71621
-1.98997,0.736842,-2.72278
-1.98997,0.746867,-2.72944
-1.98997,0.756892,-2.7362
-1.98997,0.766917,-2.74304
-1.98997,0.776942,-2.74999
-1.98997,0.786967,-2.75702
-1.98997,0.796992,-2.76415
-1.98997,0.807018,-2.77138
-1.98997,0.817043,-2.7787
-1.98997,0.827068,-2.78611
-1.98997,0.837093,-2.79362
-1.98997,0.847118,-2.80123
-1.98997,0.857143,-2.80893
-1.98997,0.867168,-2.81672
-1.98997,0.877193,-2.82461
-1.98997,0.887218,-2.8326
-1.98997,0.897243,-2.84068
-1.98997,0.907268,-2.84886
-1.98997,0.917293,-2.85713
-1.98997,0.927318,-2.8655
-1.98997,0.937343,-2.87397
-1.98997,0.947368,-2.88253
-1.98997,0.957393,-2.89119
-1.98997,0.967419,-2.89994
-1.98997,0.977444,-2.90879
-1.98997,0.987469,-2.91774
-1.98997,0.997494,-2.92679
-1.98997,1.00752,-2.93593
-1.98997,1.01754,-2.94516
-1.98997,1.02757,-2.9545
-1.98997,1.03759,-2.96393
-1.98997,1.04762,-2.97346
-1.98997,1.05764,-2.98309
-1.98997,1.06767,-2.99281
-1.98997,1.07769,-3.00264
-1.98997,1.08772,-3.01256
-1.98997,1.09774,-3.02258
-1.98997,1.10777,-3.03269
-1.98997,1.11779,-3.04291
-1.98997,1.12782,-3.05322
-1.98997,1.13784,-3.06363
-1.98997,1.14787,-3.07414
-1.98997,1.15789,-3.08474
-1.98997,1.16792,-3.09545
-1.98997,1.17794,-3.10625
-1.98997,1.18797,-3.11716
-1.98997,1.19799,-3.12816
-1.98997,1.20802,-3.13926
-1.98997,1.21805,-3.15046
-1.98997,1.22807,-3.16176
-1.98997,1.2381,-3.17315
-1.98997,1.24812,-3.18465
-1.98997,1.25815,-3.19625
-1.98997,1.26817,-3.20794
-1.98997,1.2782,-3.21974
-1.98997,1.28822,-3.23163
-1.98997,1.29825,-3.24363
-1.98997,1.30827,-3.25572
-1.98997,1.3183,-3.26792
-1.98997,1.32832,-3.28021
-1.98997,1.33835,-3.2926
-1.98997,1.34837,-3.3051
-1.98997,1.3584,-3.31769
-1.98997,1.36842,-3.33039
-1.98997,1.37845,-3.34318
-1.98997,1.38847,-3.35607
-1.98997,1.3985,-3.36907
-1.98997,1.40852,-3.38217
-1.98997,1.41855,-3.39536
-1.98997,1.42857,-3.40866
-1.98997,1.4386,-3.42205
-1.98997,1.44862,-3.43555
-1.98997,1.45865,-3.44915
-1.98997,1.46867,-3.46285
-1.98997,1.4787,-3.47665
-1.98997,1.48872,-3.49055
-1.98997,1.49875,-3.50456
-1.98997,1.50877,-3.51866
-1.98997,1.5188,-3.53286
-1.98997,1.52882,-3.54717
-1.98997,1.53885,-3.56158
-1.98997,1.54887,-3.57608
-1.98997,1.5589,-3.59069
-1.98997,1.56892,-3.6054
-1.98997,1.57895,-3.62022
-1.98997,1.58897,-3.63513
-1.98997,1.599,-3.65015
-1.98997,1.60902,-3.66526
-1.98997,1.61905,-3.68048
-1.98997,1.62907,-3.6958
-1.98997,1.6391,-3.71122
-1.98997,1.64912,-3.72675
-1.98997,1.65915,-3.74237
-1.98997,1.66917,-3.7581
-1.98997,1.6792,-3.77393
-1.98997,1.68922,-3.78986
-1.98997,1.69925,-3.80589
-1.98997,1.70927,-3.82203
-1.98997,1.7193,-3.83827
-1.98997,1.72932,-3.8546
-1.98997,1.73935,-3.87105
-1.98997,1.74937,-3.88759
-1.98997,1.7594,-3.90423
-1.98997,1.76942,-3.92098
-1.98997,1.77945,-3.93783
-1.98997,1.78947,-3.95478
-1.98997,1.7995,-3.97184
-1.98997,1.80952,-3.989
-1.98997,1.81955,-4.00626
-1.98997,1.82957,-4.02362
-1.98997,1.8396,-4.04108
-1.98997,1.84962,-4.05865
-1.98997,1.85965,-4.07632
-1.98997,1.86967,-4.09409
-1.98997,1.8797,-4.11196
-1.98997,1.88972,-4.12994
-1.98997,1.89975,-4.14802
-1.98997,1.90977,-4.1662
-1.98997,1.9198,-4.18448
-1.98997,1.92982,-4.20287
-1.98997,1.93985,-4.22136
-1.98997,1.94987,-4.23995
-1.98997,1.9599,-4.25865
-1.98997,1.96992,-4.27744
-1.98997,1.97995,-4.29634
-1.98997,1.98997,-4.31535
-1.98997,2,-4.33445
-1.97995,-2,-4.31544
-1.97995,-1.98997,-4.29634
-1.97995,-1.97995,-4.27735
-1.97995,-1.96992,-4.25845
-1.97995,-1.9599,-4.23966
-1.97995,-1.94987,-4.22098
-1.97995,-1.93985,-4.20239
-1.97995,-1.92982,-4.18391
-1.97995,-1.9198,-4.16553
-1.97995,-1.90977,-4.14725
-1.97995,-1.89975,-4.12908
-1.97995,-1.88972,-4.11101
-1.97995,-1.8797,-4.09304
-1.97995,-1.86967,-4.07517
-1.97995,-1.85965,-4.05741
-1.97995,-1.84962,-4.03974
