x0,y0,z0,x1,y1,z1,x2,y2,z2
-0.460168,0.323262,0.0614422,-0.621067,-0.356869,0.0636564,1.10527,0.0576474,0.00702138
-0.449142,0.319295,0.0626303,-0.631617,-0.35754,0.0634697,1.1052,0.0626856,0.00721998
-0.43813,0.315124,0.0638173,-0.642084,-0.358007,0.0632817,1.10505,0.0677229,0.00742098
-0.427136,0.310754,0.0650026,-0.652463,-0.358274,0.063093,1.10484,0.0727595,0.00762441
-0.416164,0.306188,0.0661859,-0.662747,-0.358343,0.0629038,1.10455,0.0777951,0.00783031
-0.405221,0.301428,0.0673666,-0.672934,-0.358218,0.0627146,1.10419,0.0828298,0.00803873
-0.394309,0.29648,0.0685444,-0.683017,-0.357903,0.0625259,1.10377,0.0878634,0.00824971
-0.383433,0.291347,0.0697188,-0.692993,-0.357403,0.0623379,1.10327,0.092896,0.00846329
-0.372596,0.286033,0.0708894,-0.702857,-0.35672,0.0621511,1.10269,0.0979273,0.00867953
-0.361802,0.280543,0.0720558,-0.712606,-0.355861,0.0619657,1.10205,0.102957,0.00889849
-0.351054,0.274882,0.0732176,-0.722236,-0.354828,0.0617822,1.10133,0.107986,0.00912022
-0.340354,0.269055,0.0743745,-0.731743,-0.353627,0.0616008,1.10054,0.113013,0.00934478
-0.329705,0.263066,0.075526,-0.741125,-0.352264,0.0614218,1.09967,0.118038,0.00957225
-0.31911,0.25692,0.0766718,-0.750379,-0.350741,0.0612455,1.09873,0.123061,0.00980269
-0.30857,0.250623,0.0778115,-0.759503,-0.349065,0.0610723,1.09771,0.128082,0.0100362
-0.298087,0.24418,0.078945,-0.768493,-0.347241,0.0609023,1.09662,0.1331,0.0102728
-0.287662,0.237596,0.0800717,-0.777348,-0.345272,0.0607357,1.09545,0.138116,0.0105126
-0.277296,0.230876,0.0811915,-0.786067,-0.343165,0.0605728,1.0942,0.143129,0.0107557
-0.26699,0.224026,0.082304,-0.794647,-0.340925,0.0604138,1.09288,0.148139,0.0110022
-0.256745,0.217051,0.0834089,-0.803088,-0.338555,0.0602589,1.09147,0.153145,0.0112522
